Entity,Code,Day,unvaccinated,vaccinated_with,vaccinated_without
0.5-4,,2022-08-06,0.0965282085,,0
0.5-4,,2022-08-13,0.0194678767,,0
0.5-4,,2022-08-20,0,,0
0.5-4,,2022-08-27,0.0790427449,,0
0.5-4,,2022-09-03,0.0397773977,,0
0.5-4,,2022-09-10,0.0199806188,,0
0.5-4,,2022-09-17,0.0200944762,,0
0.5-4,,2022-09-24,0.0209413778,,0
0.5-4,,2022-10-01,0.0202997914,,0
0.5-4,,2022-10-08,0,,0
0.5-4,,2022-10-15,0,,0
0.5-4,,2022-10-22,0.0617047289,,0
0.5-4,,2022-10-29,0.0206584595,,0
0.5-4,,2022-11-05,0,,0
0.5-4,,2022-11-12,0.0208286642,,0
0.5-4,,2022-11-19,0,,0
0.5-4,,2022-11-26,0,,0
0.5-4,,2022-12-03,0.0210355551,,0
0.5-4,,2022-12-10,0.0422174015,,0
0.5-4,,2022-12-17,0.0423485668,,0
0.5-4,,2022-12-24,0,,0
0.5-4,,2022-12-31,0.0425100122,0,0
0.5-4,,2023-01-07,0.0851625722,0,0
0.5-4,,2023-01-14,0.0213456011,0,0
0.5-4,,2023-01-21,0.1069510023,0,0
0.5-4,,2023-01-28,0.0428596746,0,0
0.5-4,,2023-02-04,0,0,0
0.5-4,,2023-02-11,0.0215032121,0,0
0.5-4,,2023-02-18,0,0,0
0.5-4,,2023-02-25,0.0215653698,0,0
0.5-4,,2023-03-04,0.021597078,0,0
0.5-4,,2023-03-11,0.0216255212,0,0
0.5-4,,2023-03-18,0.0216515405,0,0
0.5-4,,2023-03-25,0,0,0
0.5-4,,2023-04-01,0,0,0.3397062221
12-17,,2021-10-09,0.0767712323,,0
12-17,,2021-10-16,0.0388087725,,0
12-17,,2021-10-23,0.0587553732,,0
12-17,,2021-10-30,0,,0.0210991519
12-17,,2021-11-06,0.0398323139,,0
12-17,,2021-11-13,0.0604435347,,0
12-17,,2021-11-20,0.0408568916,,0
12-17,,2021-11-27,0,,0
12-17,,2021-12-04,0,,0
12-17,,2021-12-11,0.0844819,,0
12-17,,2021-12-18,0.0640834897,,0.0197975346
12-17,,2021-12-25,0,,0
12-17,,2022-01-01,0.04382797,,0
12-17,,2022-01-08,0.1056209572,,0.0182470264
12-17,,2022-01-15,0.043031704,,0.0543540197
12-17,,2022-01-22,0.0657311229,,0
12-17,,2022-01-29,0.1110111764,,0.0177803445
12-17,,2022-02-05,0.0224629855,,0.0352227584
12-17,,2022-02-12,0.0679711693,,0
12-17,,2022-02-19,0.0228618093,,0
12-17,,2022-02-26,0.0230375201,,0
12-17,,2022-03-05,0,,0
12-17,,2022-03-12,0.0232662784,,0
12-17,,2022-03-19,0,,0
12-17,,2022-03-26,0,,0
12-17,,2022-04-02,0,,0
12-17,,2022-04-09,0,,0
12-17,,2022-04-16,0,,0
12-17,,2022-04-23,0,,0
12-17,,2022-04-30,0,,0
12-17,,2022-05-07,0.0718302909,,0
12-17,,2022-05-14,0.0479977153,,0
12-17,,2022-05-21,0,,0
12-17,,2022-05-28,0.0241339822,,0
12-17,,2022-06-04,0.0483984587,,0.0164653856
12-17,,2022-06-11,0.024267857,,0.016439611
12-17,,2022-06-18,0,,0
12-17,,2022-06-25,0,,0
12-17,,2022-07-02,0,,0
12-17,,2022-07-09,0.0489992275,,0
12-17,,2022-07-16,0.0245594405,,0
12-17,,2022-07-23,0.0738743398,,0
12-17,,2022-07-30,0,,0
12-17,,2022-08-06,0.0495281576,,0
12-17,,2022-08-13,0,,0
12-17,,2022-08-20,0.0497837562,,0
12-17,,2022-08-27,0.0249430572,,0
12-17,,2022-09-03,0,,0.0162002034
12-17,,2022-09-10,0,,0
12-17,,2022-09-17,0.0751213087,,0
12-17,,2022-09-24,0.0257240176,0,0
12-17,,2022-10-01,0.0502111927,0,0
12-17,,2022-10-08,0,0,0
12-17,,2022-10-15,0.0251589818,0,0
12-17,,2022-10-22,0,0,0
12-17,,2022-10-29,0,0,0
12-17,,2022-11-05,0.0252349331,0,0
12-17,,2022-11-12,0,0,0
12-17,,2022-11-19,0,0,0
